Word,Ham Count,Spam Count,Total Count,Spam Ratio
hitch,16,60,76,0.789
griebl,76,0,76,0.0
mtbe,76,0,76,0.0
coca,28,48,76,0.632
prescripiton,0,76,76,1.0
recharg,4,71,75,0.947
lover,2,73,75,0.973
nommensen,75,0,75,0.0
fallout,69,6,75,0.08
substitut,59,16,75,0.213
unchang,73,2,75,0.027
lpx,1,74,75,0.987
freewar,2,73,75,0.973
sharewar,0,75,75,1.0
shal,0,75,75,1.0
ain,21,54,75,0.72
civilian,3,72,75,0.96
tisdal,75,0,75,0.0
primezon,5,70,75,0.933
sua,0,75,75,1.0
shail,0,75,75,1.0
concius,0,75,75,1.0
marti,67,8,75,0.107
imm,0,75,75,1.0
weightloss,0,75,75,1.0
adher,37,38,75,0.507
initia,0,75,75,1.0
ramp,60,15,75,0.2
terribl,35,40,75,0.533
risktrac,75,0,75,0.0
superb,8,67,75,0.893
reed,53,22,75,0.293
downturn,67,8,75,0.107
creas,0,75,75,1.0
neon,75,0,75,0.0
stud,3,72,75,0.96
donovan,56,19,75,0.253
intraday,72,3,75,0.04
concurr,50,25,75,0.333
clal,0,75,75,1.0
aw,21,54,75,0.72
cail,0,75,75,1.0
smail,0,75,75,1.0
shepherd,59,16,75,0.213
deliver,61,14,75,0.187
oneok,75,0,75,0.0
informacin,0,75,75,1.0
titman,75,0,75,0.0
cline,75,0,75,0.0
sail,26,49,75,0.653
unpreced,27,48,75,0.64
roof,19,56,75,0.747
valor,4,71,75,0.947
exhaust,41,34,75,0.453
compliment,14,61,75,0.813
shoulder,22,53,75,0.707
schultz,65,10,75,0.133
wet,10,64,74,0.865
breguet,0,74,74,1.0
muiti,0,74,74,1.0
joyc,60,14,74,0.189
kansa,53,21,74,0.284
entr,11,63,74,0.851
divert,31,43,74,0.581
het,0,74,74,1.0
costo,0,74,74,1.0
philosophi,32,42,74,0.568
ey,5,69,74,0.932
struck,58,16,74,0.216
pharm,3,71,74,0.959
specia,0,74,74,1.0
scrap,43,31,74,0.419
mor,1,73,74,0.986
smal,0,74,74,1.0
tender,30,44,74,0.595
deli,3,71,74,0.959
distinguish,39,35,74,0.473
consecut,43,31,74,0.419
substanc,25,49,74,0.662
messeng,41,33,74,0.446
rt,34,40,74,0.541
leagu,44,30,74,0.405
gerri,68,6,74,0.081
ffffff,0,74,74,1.0
travi,64,10,74,0.135
netnoteinc,0,74,74,1.0
dunn,62,12,74,0.162
jitter,18,56,74,0.757
pearc,61,13,74,0.176
slowli,40,34,74,0.459
certicom,0,74,74,1.0
pen,26,48,74,0.649
cmu,74,0,74,0.0
walsh,71,3,74,0.041
plaza,46,28,74,0.378
utah,36,38,74,0.514
wt,42,32,74,0.432
deloitt,72,2,74,0.027
practition,52,22,74,0.297
xa,0,74,74,1.0
involuntari,73,1,74,0.014
hrgovcic,74,0,74,0.0
powerhous,40,34,74,0.459
proport,29,45,74,0.608
tear,14,60,74,0.811
lacima,73,0,73,0.0
hora,1,72,73,0.986
pal,13,60,73,0.822
chronic,5,68,73,0.932
intensifi,34,39,73,0.534
avert,14,59,73,0.808
rainbow,1,72,73,0.986
lectur,60,13,73,0.178
airmail,36,37,73,0.507
prevail,60,13,73,0.178
revolut,24,49,73,0.671
clariti,48,25,73,0.342
kabila,0,73,73,1.0
panelist,68,5,73,0.068
,0,73,73,1.0
zenith,1,72,73,0.986
fountain,41,32,73,0.438
driil,0,73,73,1.0
chewco,73,0,73,0.0
moopid,0,73,73,1.0
medlcatlon,0,73,73,1.0
strict,33,40,73,0.548
pcx,73,0,73,0.0
dominion,56,17,73,0.233
referr,42,31,73,0.425
surplu,58,15,73,0.205
fgt,73,0,73,0.0
abc,36,37,73,0.507
modest,48,25,73,0.342
libido,0,73,73,1.0
partli,63,10,73,0.137
adipex,0,72,72,1.0
biotechnolog,19,53,72,0.736
prospectu,40,32,72,0.444
crowd,28,44,72,0.611
pri,13,59,72,0.819
troop,17,55,72,0.764
claudia,59,13,72,0.181
gene,51,21,72,0.292
dispens,5,67,72,0.931
anthrax,72,0,72,0.0
,0,72,72,1.0
bechtel,65,7,72,0.097
halal,0,72,72,1.0
constantli,34,38,72,0.528
ike,0,72,72,1.0
fioricet,0,72,72,1.0
disregard,51,21,72,0.292
onl,0,72,72,1.0
uncertain,70,2,72,0.028
exim,1,71,72,0.986
introductori,17,55,72,0.764
enabi,0,72,72,1.0
ngo,71,1,72,0.014
longest,12,60,72,0.833
baltic,3,69,72,0.958
feygin,72,0,72,0.0
southeast,56,16,72,0.222
probat,6,66,72,0.917
disney,39,33,72,0.458
ay,1,71,72,0.986
interchg,72,0,72,0.0
ronni,52,20,72,0.278
bust,38,34,72,0.472
blend,20,52,72,0.722
neuweil,72,0,72,0.0
seyfri,72,0,72,0.0
writedown,72,0,72,0.0
environmenta,0,72,72,1.0
influenti,23,49,72,0.681
trailer,8,64,72,0.889
stakehold,72,0,72,0.0
archer,59,13,72,0.181
pan,53,18,71,0.254
theoret,63,8,71,0.113
inkjet,0,71,71,1.0
prison,4,67,71,0.944
silent,24,47,71,0.662
fargo,26,45,71,0.634
powel,61,10,71,0.141
surf,11,60,71,0.845
nc,23,48,71,0.676
accumui,0,71,71,1.0
dictat,30,41,71,0.577
counterpart,51,20,71,0.282
basebal,46,25,71,0.352
holland,35,36,71,0.507
fewer,54,17,71,0.239
bondhold,62,9,71,0.127
unaccount,70,1,71,0.014
clerk,52,19,71,0.268
preview,30,41,71,0.577
ineffici,58,13,71,0.183
wive,5,66,71,0.93
cass,71,0,71,0.0
hier,0,71,71,1.0
ohio,44,27,71,0.38
goliv,0,71,71,1.0
egan,59,12,71,0.169
nuestra,1,70,71,0.986
copano,71,0,71,0.0
disabl,34,37,71,0.521
breast,9,62,71,0.873
dispers,12,59,71,0.831
isv,0,71,71,1.0
necess,26,45,71,0.634
nax,0,71,71,1.0
egal,0,71,71,1.0
diebold,59,12,71,0.169
teiecommun,0,71,71,1.0
onshor,22,49,71,0.69
whoever,46,25,71,0.352
mysteri,29,42,71,0.592
mara,69,2,71,0.028
aucoin,71,0,71,0.0
nm,40,31,71,0.437
ubswenergi,71,0,71,0.0
swerzbin,71,0,71,0.0
cornfield,62,9,71,0.127
forgiv,25,46,71,0.648
melinda,66,4,70,0.057
diminish,50,20,70,0.286
daffin,70,0,70,0.0
edi,67,3,70,0.043
tn,10,60,70,0.857
ix,16,54,70,0.771
firstcal,4,66,70,0.943
stimulu,64,6,70,0.086
spinnak,66,4,70,0.057
grass,28,42,70,0.6
devil,45,25,70,0.357
owen,39,31,70,0.443
afp,67,3,70,0.043
pogo,65,5,70,0.071
dental,23,47,70,0.671
faciiiti,0,70,70,1.0
een,0,70,70,1.0
sanchez,54,16,70,0.229
adv,0,70,70,1.0
arg,0,70,70,1.0
smell,16,54,70,0.771
reproduct,17,53,70,0.757
wizard,6,64,70,0.914
rail,42,28,70,0.4
depreci,47,23,70,0.329
scientist,18,52,70,0.743
mercantil,61,9,70,0.129
aof,0,70,70,1.0
tufco,70,0,70,0.0
gina,54,16,70,0.229
grp,3,67,70,0.957
multipli,35,35,70,0.5
flaw,49,21,70,0.3
minnesota,23,47,70,0.671
gd,62,8,70,0.114
sl,20,50,70,0.714
fold,40,29,69,0.42
evil,5,64,69,0.928
caida,68,1,69,0.014
nex,0,69,69,1.0
georgeann,69,0,69,0.0
pavel,68,1,69,0.014
mcgregor,67,2,69,0.029
letsyou,0,69,69,1.0
checkour,0,69,69,1.0
helpdesk,52,17,69,0.246
bert,62,7,69,0.101
sash,0,69,69,1.0
loom,38,31,69,0.449
fap,69,0,69,0.0
signup,9,60,69,0.87
pserc,69,0,69,0.0
surethat,0,69,69,1.0
invalu,17,52,69,0.754
crdito,0,69,69,1.0
patek,0,69,69,1.0
csiko,69,0,69,0.0
walli,64,5,69,0.072
reviv,48,21,69,0.304
adr,61,8,69,0.116
cannon,52,17,69,0.246
brazo,69,0,69,0.0
solo,7,62,69,0.899
liberti,36,33,69,0.478
void,30,39,69,0.565
hancock,61,8,69,0.116
pma,68,1,69,0.014
timet,56,13,69,0.188
visualident,0,69,69,1.0
newsroom,69,0,69,0.0
judici,33,36,69,0.522
sexi,1,68,69,0.986
patel,68,1,69,0.014
aeopublish,0,69,69,1.0
theater,15,54,69,0.783
alto,53,16,69,0.232
mpc,66,3,69,0.043
mktg,69,0,69,0.0
pussi,0,69,69,1.0
secreci,9,60,69,0.87
fiduci,0,69,69,1.0
hotat,0,69,69,1.0
endlogo,0,69,69,1.0
unheard,4,65,69,0.942
pkg,66,3,69,0.043
brink,52,17,69,0.246
shawn,55,14,69,0.203
marjori,52,17,69,0.246
amp,12,56,68,0.824
cowboy,54,14,68,0.206
eras,18,50,68,0.735
strap,29,39,68,0.574
infin,26,42,68,0.618
arbitrag,61,7,68,0.103
schoolcraft,68,0,68,0.0
aiberta,0,68,68,1.0
emphasi,46,22,68,0.324
southwestern,15,53,68,0.779
exponenti,10,58,68,0.853
huntington,55,13,68,0.191
panenergi,68,0,68,0.0
obsf,68,0,68,0.0
skip,37,31,68,0.456
venu,41,27,68,0.397
slim,19,49,68,0.721
od,27,41,68,0.603
layoff,60,8,68,0.118
maryland,34,34,68,0.5
deborah,49,19,68,0.279
aftermath,35,33,68,0.485
verizon,10,58,68,0.853
interfer,29,39,68,0.574
snow,27,41,68,0.603
suppiy,0,68,68,1.0
koenig,59,9,68,0.132
zoloft,0,68,68,1.0
epsc,68,0,68,0.0
bypass,36,32,68,0.471
ty,9,59,68,0.868
app,32,36,68,0.529
má,0,68,68,1.0
xpress,14,54,68,0.794
adsl,0,68,68,1.0
drama,10,58,68,0.853
iot,0,68,68,1.0
conced,50,18,68,0.265
artifici,52,16,68,0.235
pakistan,8,60,68,0.882
xent,0,68,68,1.0
insurancemail,0,68,68,1.0
nasd,5,63,68,0.926
scientech,68,0,68,0.0
vera,38,30,68,0.441
listmast,0,68,68,1.0
shannon,51,17,68,0.25
undercollect,68,0,68,0.0
spa,45,23,68,0.338
greif,68,0,68,0.0
wari,54,14,68,0.206
cup,7,61,68,0.897
ganjoo,68,0,68,0.0
deeper,34,33,67,0.493
evento,0,67,67,1.0
ngpl,66,1,67,0.015
sen,56,11,67,0.164
ambiien,0,67,67,1.0
chicken,31,36,67,0.537
worsen,65,2,67,0.03
vip,8,59,67,0.881
ian,45,22,67,0.328
surprisingli,30,37,67,0.552
exam,29,38,67,0.567
gaza,5,62,67,0.925
valadez,67,0,67,0.0
coincid,42,25,67,0.373
renewabi,0,67,67,1.0
speedi,15,52,67,0.776
marketwatch,53,14,67,0.209
mil,26,41,67,0.612
lopez,21,46,67,0.687
legaci,25,42,67,0.627
rex,53,14,67,0.209
stein,59,8,67,0.119
fiona,62,5,67,0.075
robust,44,23,67,0.343
exxonmobii,0,67,67,1.0
erwin,58,9,67,0.134
porter,55,12,67,0.179
newcom,59,8,67,0.119
alexand,40,27,67,0.403
haga,0,67,67,1.0
sur,13,54,67,0.806
jcc,67,0,67,0.0
hydroelectr,60,7,67,0.104
assert,41,26,67,0.388
gregg,63,4,67,0.06
winfrey,65,2,67,0.03
ridicul,30,37,67,0.552
barn,27,40,67,0.597
veronica,57,10,67,0.149
hammer,44,23,67,0.343
deepen,44,23,67,0.343
princ,19,48,67,0.716
intercontinent,57,10,67,0.149
laurel,55,12,67,0.179
dirti,7,60,67,0.896
venturato,67,0,67,0.0
je,6,61,67,0.91
marcello,65,2,67,0.03
tux,1,66,67,0.985
epgt,67,0,67,0.0
cavern,15,52,67,0.776
garven,67,0,67,0.0
nepool,67,0,67,0.0
holli,57,10,67,0.149
fue,4,63,67,0.94
kerr,54,13,67,0.194
prosecut,30,37,67,0.552
scroll,22,45,67,0.672
sultan,2,64,66,0.97
ppl,57,9,66,0.136
cliqu,0,66,66,1.0
chen,55,11,66,0.167
disagre,57,9,66,0.136
sezgen,66,0,66,0.0
scanner,7,59,66,0.894
skinner,60,6,66,0.091
esther,61,5,66,0.076
eeo,66,0,66,0.0
vuitton,0,66,66,1.0
lori,62,4,66,0.061
intercompani,64,2,66,0.03
soccer,35,31,66,0.47
rakesh,66,0,66,0.0
envis,62,4,66,0.061
ignit,6,60,66,0.909
prototyp,24,42,66,0.636
conglomer,16,50,66,0.758
betsi,51,15,66,0.227
strategist,58,8,66,0.121
ns,5,61,66,0.924
complement,32,34,66,0.515
shult,66,0,66,0.0
buri,13,53,66,0.803
belgium,17,49,66,0.742
quilkey,66,0,66,0.0
bang,9,57,66,0.864
exe,45,21,66,0.318
simplifi,32,34,66,0.515
siteguaarante,0,66,66,1.0
crm,27,39,66,0.591
mental,14,52,66,0.788
paycheck,47,19,66,0.288
lasal,6,60,66,0.909
ruth,49,17,66,0.258
highway,25,41,66,0.621
elsa,65,1,66,0.015
bestow,4,62,66,0.939
ebook,0,66,66,1.0
deed,12,54,66,0.818
brandywin,57,9,66,0.136
entrust,10,56,66,0.848
cautiou,50,16,66,0.242
eo,27,39,66,0.591
coloni,11,55,66,0.833
slid,59,7,66,0.106
utilicorp,66,0,66,0.0
benin,1,65,66,0.985
verdana,0,66,66,1.0
govt,59,7,66,0.106
lkml,0,66,66,1.0
chocol,14,52,66,0.788
allot,15,51,66,0.773
fraudul,9,57,66,0.864
lega,0,66,66,1.0
hel,58,8,66,0.121
ultram,0,65,65,1.0
slate,52,13,65,0.2
easter,46,19,65,0.292
silenc,26,39,65,0.6
reiiabl,0,65,65,1.0
spencer,55,10,65,0.154
vocaiscap,0,65,65,1.0
fm,21,44,65,0.677
indesign,0,65,65,1.0
pgp,4,61,65,0.938
abn,44,21,65,0.323
synthet,42,23,65,0.354
wo,12,53,65,0.815
tota,0,65,65,1.0
motley,55,10,65,0.154
pst,35,30,65,0.462
midstream,59,6,65,0.092
neariy,0,65,65,1.0
ceraweek,65,0,65,0.0
muitipl,0,65,65,1.0
everywher,18,47,65,0.723
wrinkl,2,63,65,0.969
watt,4,61,65,0.938
dir,17,48,65,0.738
echo,35,30,65,0.462
valeri,47,18,65,0.277
idbi,65,0,65,0.0
lengthi,41,24,65,0.369
dealbench,65,0,65,0.0
discreetli,1,64,65,0.985
upto,13,52,65,0.8
capsul,2,63,65,0.969
fossil,11,54,65,0.831
seed,15,50,65,0.769
tin,8,57,65,0.877
kiss,10,55,65,0.846
heighten,53,12,65,0.185
burner,10,55,65,0.846
tl,13,52,65,0.8
egg,23,42,65,0.646
forgotten,31,34,65,0.523
shrink,43,22,65,0.338
jaesoo,65,0,65,0.0
slut,0,65,65,1.0
apprais,16,49,65,0.754
norri,49,16,65,0.246
payback,60,5,65,0.077
refineri,48,17,65,0.262
persuad,55,10,65,0.154
lag,37,28,65,0.431
vaccin,31,34,65,0.523
evolut,42,23,65,0.354
torrey,65,0,65,0.0
sylvia,58,6,64,0.094
knle,0,64,64,1.0
awhil,18,46,64,0.719
incident,33,31,64,0.484
harsh,25,39,64,0.609
sorenson,64,0,64,0.0
tobi,55,9,64,0.141
fleme,61,3,64,0.047
shaw,43,21,64,0.328
ubswarburg,64,0,64,0.0
nb,10,54,64,0.844
swm,0,64,64,1.0
carbon,9,55,64,0.859
piaget,0,64,64,1.0
whitman,61,3,64,0.047
companion,3,61,64,0.953
winfre,64,0,64,0.0
angri,26,38,64,0.594
caller,34,30,64,0.469
kara,60,4,64,0.062
threshold,51,13,64,0.203
yanowski,64,0,64,0.0
vladimir,42,22,64,0.344
beta,44,20,64,0.312
bergstrom,53,11,64,0.172
machineri,9,55,64,0.859
catastroph,36,28,64,0.438
hydrocarbon,50,14,64,0.219
cnbc,56,8,64,0.125
ultra,5,59,64,0.922
klein,29,35,64,0.547
moham,3,61,64,0.953
emma,31,33,64,0.516
steam,36,28,64,0.438
variat,30,34,64,0.531
voluntari,50,14,64,0.219
acid,1,63,64,0.984
hype,26,38,64,0.594
clickpap,64,0,64,0.0
premis,48,16,64,0.25
rgsa,0,64,64,1.0
chilkina,64,0,64,0.0
popt,0,64,64,1.0
nowlan,64,0,64,0.0
redeem,43,21,64,0.328
fma,64,0,64,0.0
ortho,0,64,64,1.0
poll,41,23,64,0.359
checkout,22,42,64,0.656
psycholog,35,29,64,0.453
analog,16,48,64,0.75
richmond,56,8,64,0.125
hood,44,20,64,0.312
calper,64,0,64,0.0
thode,64,0,64,0.0
bibl,14,50,64,0.781
nerc,63,0,63,0.0
svp,56,7,63,0.111
arthurandersen,63,0,63,0.0
leno,63,0,63,0.0
julio,0,63,63,1.0
esq,22,41,63,0.651
pili,0,63,63,1.0
mtr,60,3,63,0.048
oga,0,63,63,1.0
undisclos,59,4,63,0.063
contrari,34,29,63,0.46
certainti,30,33,63,0.524
queen,30,33,63,0.524
¶,0,63,63,1.0
trim,43,20,63,0.317
unemploy,40,23,63,0.365
defici,57,6,63,0.095
reynold,31,32,63,0.508
dasovich,63,0,63,0.0
mahoney,61,2,63,0.032
caso,0,63,63,1.0
rado,0,63,63,1.0
tonn,15,48,63,0.762
resend,54,9,63,0.143
reinsur,50,13,63,0.206
wong,50,13,63,0.206
docket,55,8,63,0.127
perfmgmt,63,0,63,0.0
dynergi,63,0,63,0.0
ndin,0,63,63,1.0
multipart,20,43,63,0.683
protoco,0,63,63,1.0
nickel,19,44,63,0.698
uh,56,7,63,0.111
shane,58,5,63,0.079
automobil,2,61,63,0.968
extel,63,0,63,0.0
salvag,54,9,63,0.143
elabor,47,16,63,0.254
unix,46,17,63,0.27
ata,1,62,63,0.984
condens,32,31,63,0.492
chanel,0,63,63,1.0
jung,58,5,63,0.079
mess,53,10,63,0.159
gaap,51,12,63,0.19
paramount,4,59,63,0.937
meltdown,56,7,63,0.111
wash,19,44,63,0.698
karla,61,2,63,0.032
syndic,41,22,63,0.349
cultiv,25,38,63,0.603
taablet,0,62,62,1.0
snapshot,50,12,62,0.194
precautionari,7,55,62,0.887
inevit,49,13,62,0.21
cote,9,53,62,0.855
gasolin,49,13,62,0.21
contributeto,0,62,62,1.0
bow,25,37,62,0.597
deepli,37,25,62,0.403
cu,21,41,62,0.661
monet,59,3,62,0.048
ffffffstrongfont,0,62,62,1.0
kirk,42,20,62,0.323
footer,27,35,62,0.565
injur,11,51,62,0.823
debtor,34,28,62,0.452
detaii,0,62,62,1.0
regress,39,23,62,0.371
gl,33,29,62,0.468
retrofit,6,56,62,0.903
gloria,41,21,62,0.339
notabl,45,17,62,0.274
oss,22,40,62,0.645
paradigm,35,27,62,0.435
encompass,18,44,62,0.71
ky,19,43,62,0.694
hoc,57,5,62,0.081
giobal,0,62,62,1.0
likelihood,62,0,62,0.0
flake,4,58,62,0.935
krapel,62,0,62,0.0
waiver,59,3,62,0.048
trap,10,52,62,0.839
mesa,46,16,62,0.258
risen,44,18,62,0.29
estabiish,0,62,62,1.0
gil,53,9,62,0.145
moon,24,38,62,0.613
surcharg,59,3,62,0.048
autumn,25,37,62,0.597
bland,52,10,62,0.161
oc,34,28,62,0.452
hardli,42,20,62,0.323
nearbi,27,35,62,0.565
ahm,9,53,62,0.855
sweep,30,32,62,0.516
radic,27,35,62,0.565
petrona,62,0,62,0.0
pelo,0,61,61,1.0
cohen,41,20,61,0.328
anniversari,46,15,61,0.246
jake,56,5,61,0.082
pittsburgh,48,13,61,0.213
afghanistan,51,10,61,0.164
pamela,50,11,61,0.18
widow,0,61,61,1.0
creator,12,49,61,0.803
vertic,24,37,61,0.607
trtd,0,61,61,1.0
recibir,0,61,61,1.0
movado,0,61,61,1.0
hertzberg,61,0,61,0.0
oracl,40,21,61,0.344
dat,27,34,61,0.557
connel,50,11,61,0.18
linger,44,17,61,0.279
isy,61,0,61,0.0
ight,0,61,61,1.0
swaption,61,0,61,0.0
rf,1,60,61,0.984
costa,14,47,61,0.77
apparel,2,59,61,0.967
daiiy,0,61,61,1.0
malaysia,15,46,61,0.754
religi,19,42,61,0.689
wider,46,15,61,0.246
steal,18,43,61,0.705
iain,55,6,61,0.098
crosstex,61,0,61,0.0
millenium,9,52,61,0.852
reveffo,61,0,61,0.0
imperi,40,21,61,0.344
horizon,33,28,61,0.459
vitro,57,4,61,0.066
bass,40,21,61,0.344
clali,0,61,61,1.0
atmospher,25,36,61,0.59
adobb,0,61,61,1.0
berney,61,0,61,0.0
firewal,13,48,61,0.787
footnot,57,4,61,0.066
bueno,23,38,61,0.623
cryogen,1,60,61,0.984
spray,4,57,61,0.934
hillari,61,0,61,0.0
symposium,57,4,61,0.066
vaughn,51,10,61,0.164
collar,45,16,61,0.262
ppt,60,1,61,0.016
envi,14,47,61,0.77
stall,44,17,61,0.279
marta,58,3,61,0.049
alpha,17,44,61,0.721
deplet,25,36,61,0.59
pizza,9,52,61,0.852
string,32,29,61,0.475
corey,48,13,61,0.213
majeur,61,0,61,0.0
nuestro,0,61,61,1.0
entranc,30,31,61,0.508
homepag,24,37,61,0.607
massachusett,26,35,61,0.574
cooi,0,61,61,1.0
reinforc,35,26,61,0.426
pitch,42,19,61,0.311
tailor,26,35,61,0.574
ski,27,34,61,0.557
likewis,32,29,61,0.475
residentia,0,61,61,1.0
rider,25,36,61,0.59
chao,27,34,61,0.557
eml,55,6,61,0.098
valv,56,5,61,0.082
diagram,37,24,61,0.393
griffin,55,6,61,0.098
voter,30,30,60,0.5
derrick,42,18,60,0.3
macintosh,0,60,60,1.0
pleasant,22,38,60,0.633
anxiou,25,35,60,0.583
alisav,0,60,60,1.0
delray,0,60,60,1.0
intact,35,25,60,0.417
brbr,0,60,60,1.0
sanjay,60,0,60,0.0
overwhelm,31,29,60,0.483
auch,6,54,60,0.9
chopard,0,60,60,1.0
huifeng,0,60,60,1.0
ngx,60,0,60,0.0
babe,1,59,60,0.983
mn,10,50,60,0.833
lonestar,60,0,60,0.0
ibrahim,5,55,60,0.917
smuggl,0,60,60,1.0
screw,18,42,60,0.7
stsw,60,0,60,0.0
mcmichael,60,0,60,0.0
degrad,17,43,60,0.717
gottlob,60,0,60,0.0
shari,44,16,60,0.267
episod,12,48,60,0.8
shiiip,0,60,60,1.0
dyer,43,17,60,0.283
cream,12,48,60,0.8
purport,15,45,60,0.75
workspac,23,37,60,0.617
estoppel,60,0,60,0.0
hast,25,35,60,0.583
ciear,0,60,60,1.0
sturm,60,0,60,0.0
nath,60,0,60,0.0
angelid,60,0,60,0.0
hebert,60,0,60,0.0
occupi,34,26,60,0.433
impii,0,60,60,1.0
vista,5,55,60,0.917
amalgam,15,45,60,0.75
mensagem,0,60,60,1.0
augment,17,43,60,0.717
jami,39,21,60,0.35
longin,0,60,60,1.0
eighti,22,38,60,0.633
visibi,0,60,60,1.0
wireiess,0,60,60,1.0
intercours,0,60,60,1.0
bacteria,0,60,60,1.0
regim,13,47,60,0.783
garner,43,17,60,0.283
applianc,21,39,60,0.65
ts,19,41,60,0.683
hdpe,0,60,60,1.0
angl,26,34,60,0.567
choral,0,60,60,1.0
dubai,14,46,60,0.767
condemn,7,53,60,0.883
stockl,0,60,60,1.0
hilli,55,5,60,0.083
centana,60,0,60,0.0
mayor,24,36,60,0.6
shippi,0,60,60,1.0
shield,40,20,60,0.333
esp,24,36,60,0.6
issuealert,60,0,60,0.0
honour,24,36,60,0.6
sistema,0,60,60,1.0
eleven,9,51,60,0.85
backgammon,0,60,60,1.0
coalit,42,18,60,0.3
overcom,43,16,59,0.271
hs,10,49,59,0.831
publishinq,0,59,59,1.0
squeez,51,8,59,0.136
disconnect,42,17,59,0.288
berri,41,18,59,0.305
tissu,1,58,59,0.983
sylvan,3,56,59,0.949
prestigi,8,51,59,0.864
ivoir,0,59,59,1.0
wg,49,10,59,0.169
youcheckk,0,59,59,1.0
postfix,1,58,59,0.983
encina,59,0,59,0.0
viacom,29,30,59,0.508
sad,24,35,59,0.593
overdu,48,11,59,0.186
gh,36,23,59,0.39
demis,35,24,59,0.407
manhattan,40,19,59,0.322
hamper,48,11,59,0.186
malin,59,0,59,0.0
narg,59,0,59,0.0
joan,43,16,59,0.271
distil,51,8,59,0.136
brilliant,27,32,59,0.542
rfp,56,3,59,0.051
pepper,3,56,59,0.949
gucci,0,59,59,1.0
exactiy,0,59,59,1.0
aviat,18,41,59,0.695
iagra,0,59,59,1.0
cpa,39,20,59,0.339
sashok,0,59,59,1.0
ammunit,10,49,59,0.831
greek,21,38,59,0.644
frankfurt,36,23,59,0.39
semest,55,4,59,0.068
appiic,0,59,59,1.0
swell,4,55,59,0.932
rollout,53,6,59,0.102
shopp,0,59,59,1.0
tea,6,53,59,0.898
editori,36,23,59,0.39
hanov,58,1,59,0.017
incorrectli,55,4,59,0.068
werden,3,56,59,0.949
daw,51,8,59,0.136
mastercard,5,54,59,0.915
distort,27,32,59,0.542
invisibi,0,59,59,1.0
dimens,16,43,59,0.729
compra,0,59,59,1.0
garland,53,6,59,0.102
orang,12,47,59,0.797
stun,39,20,59,0.339
bv,3,56,59,0.949
leak,46,12,58,0.207
cashflow,50,8,58,0.138
vo,25,33,58,0.569
kinder,54,4,58,0.069
royalti,34,24,58,0.414
goliad,58,0,58,0.0
benedict,42,16,58,0.276
tenur,22,36,58,0.621
pinpoint,10,48,58,0.828
fabric,14,44,58,0.759
forwardlook,0,58,58,1.0
pgpu,0,58,58,1.0
insolv,44,14,58,0.241
devast,40,18,58,0.31
amex,20,38,58,0.655
beneath,11,47,58,0.81
autocad,1,57,58,0.983
sophi,50,8,58,0.138
teeth,15,43,58,0.741
dolphin,48,10,58,0.172
annua,0,58,58,1.0
upload,23,35,58,0.603
coven,37,21,58,0.362
superviagra,0,58,58,1.0
angi,35,23,58,0.397
sacrific,15,43,58,0.741
pentium,6,52,58,0.897
wealthi,8,50,58,0.862
einer,3,55,58,0.948
cdt,58,0,58,0.0
tension,20,38,58,0.655
nineteen,0,58,58,1.0
carli,53,5,58,0.086
freee,0,58,58,1.0
erol,58,0,58,0.0
cheney,42,16,58,0.276
worthwhil,32,26,58,0.448
prop,20,38,58,0.655
dudley,45,13,58,0.224
lumber,53,5,58,0.086
endur,25,33,58,0.569
sousa,38,20,58,0.345
downsid,41,17,58,0.293
advantaq,0,58,58,1.0
fake,2,56,58,0.966
silicon,26,32,58,0.552
enroncredit,58,0,58,0.0
deputi,29,29,58,0.5
oretech,0,58,58,1.0
seventi,0,58,58,1.0
severa,0,58,58,1.0
eclips,2,56,58,0.966
beverag,25,33,58,0.569
checklist,37,21,58,0.362
norman,46,12,58,0.207
hass,57,1,58,0.017
recours,54,4,58,0.069
arora,57,1,58,0.017
hack,4,54,58,0.931
essenc,24,34,58,0.586
monopoli,48,10,58,0.172
forefront,12,46,58,0.793
ratepay,48,9,57,0.158
doyl,49,8,57,0.14
juno,48,9,57,0.158
contempt,43,14,57,0.246
djinteract,57,0,57,0.0
orderinq,0,57,57,1.0
bryson,56,1,57,0.018
midnight,28,29,57,0.509
tactic,42,15,57,0.263
ceremoni,15,42,57,0.737
foam,4,53,57,0.93
jesu,38,19,57,0.333
mauric,10,47,57,0.825
ramona,57,0,57,0.0
beati,56,1,57,0.018
inv,20,37,57,0.649
dingel,57,0,57,0.0
gissin,0,57,57,1.0
incumb,25,32,57,0.561
sind,6,51,57,0.895
tawney,57,0,57,0.0
metro,42,15,57,0.263
eagl,24,33,57,0.579
forfeit,14,43,57,0.754
desea,0,57,57,1.0
afxnew,57,0,57,0.0
desmond,26,31,57,0.544
leap,23,34,57,0.596
fe,15,42,57,0.737
unpaid,32,25,57,0.439
hemispher,37,20,57,0.351
peco,49,8,57,0.14
ftp,47,10,57,0.175
unhappi,34,23,57,0.404
undermin,52,5,57,0.088
ation,3,54,57,0.947
possib,1,56,57,0.982
ach,10,47,57,0.825
stuck,37,20,57,0.351
apwl,0,57,57,1.0
barr,18,39,57,0.684
medssno,0,57,57,1.0
imper,29,28,57,0.491
oxygen,3,54,57,0.947
loyalti,20,37,57,0.649
cousino,57,0,57,0.0
